,Name,Price,Link
22,AOC AG241QG (AOCAG241QG),526 €,https://www.datart.sk/monitor-aoc-ag241qg-aocag241qg.html
23,Philips 326M6VJRMB (326M6VJRMB/00),522 €,https://www.datart.sk/monitor-philips-326m6vjrmb-326m6vjrmb-00.html
24,Asus ROG STRIX XG32VQ (90LM03S0-B01170),"507,90 €",https://www.datart.sk/monitor-asus-rog-strix-xg32vq-90lm03s0-b01170.html
25,Philips 328P6VUBREB (328P6VUBREB/00),507 €,https://www.datart.sk/led-philips-328p6vubreb-4k-va-usb-c-lan-328p6vubreb-00.html
26,Asus VG27AQ (90LM0500-B01370),"505,40 €",https://www.datart.sk/monitor-asus-vg27aq-90lm0500-b01370.html
27,Acer Predator XB271HUA (UM.HX1EE.A01),499 €,https://www.datart.sk/monitor-acer-predator-xb271hua-um-hx1ee-a01.html
28,Acer Predator XB273UGSbmiiprzx (UM.HX0EE.S01),"494,20 €",https://www.datart.sk/predator-xb273ugsbmiiprzx-69cm-27-ips-led-wqhd-2560x1440-165hz-100m-1-400cd-m2-178-178-0-5ms-g2g-min-2xhdmi-2-0-2xdp-1-2-usb3-0-hub-audio-out-repro-2x2w-vesa-hgt-adj-g-sync-compatible-adaptive-sync-widecolorgamut-srgb-6color-adjustm.html
29,BenQ PD2700U (9H.LHALB:QBE),"487,90 €",https://www.datart.sk/monitor-benq-pd2700u-9h-lhalb-qbe.html
30,Lenovo Legion Y27gq čierny (65ECGAC1EU),"483,40 €",https://www.datart.sk/-27-2560-x-1440-tn-wled-1ms-165hz-350-cd-m2-1000-1-hdmi-dp-65ecgac1eu.html
31,LG 27GL850 čierne (27GL850-B.AEU),"479,90 €",https://www.datart.sk/lg-27gl850-27gl850.html
32,Philips 346B1C (346B1C/00),477 €,https://www.datart.sk/monitor-philips-346b1c-346b1c-00.html
33,"Dell S2716DG 27"" čierny (210-AGUI)","471,90 €",https://www.datart.sk/monitor-dell-s2716dg-27-27-led-tn-3ms-1000-1-350cd-m2-2560-x-1440-dp.html
34,Lenovo Legion Y27q-20 (65EEGAC1EU),"467,60 €",https://www.datart.sk/lenovo-legion-y27q-20-without-spk-65eegac1eu.html
35,Dell Alienware AW2518H (210-AMOF) (210-AMOF),"463,90 €",https://www.datart.sk/monitor-dell-alienware-aw2518h-210-amof-25-led-tn-1ms-1000-1-400cd-m2-1920-x-1080-dp.html
36,Asus XG27VQ čierny (90LM03G0-B01970),"463,90 €",https://www.datart.sk/monitor-asus-xg27vq-27-led-va-4ms-100000000-1-300cd-m2-1920-x-1080-dp.html
37,HP EliteDisplay E273d (5WN63AA#ABB),"459,20 €",https://www.datart.sk/hp-elitedisplay-e273d-docking-monitor-uhlopricka-27-palcu-rozliseni-1920x1080-panel-ips-w-led-jas-250-cd-m2-staticky-kontrast-1000-1-odezva-5-ms-g-g-matny-panel-vyskove-nastavitelny-pivot-rotace-usb-hub-konektory-vga-dp-1-2-out-hdmi-1-4-4xus.html
38,Dell UltraSharp U2719DC (DELL-U2719DC),459 €,https://www.datart.sk/u2719dc-dell-u2719dc.html
39,Dell Alienware Gaming AW2720HF (210-ATTQ),"454,90 €",https://www.datart.sk/aw2720hf-210-attq.html
40,Dell Gaming S3220DGF (DELL-3220DGF),"450,50 €",https://www.datart.sk/s3220dgf-dell-3220dgf.html
41,Acer CB342CKsmiiphzx (UM.CB2EE.001),447 €,https://www.datart.sk/cb342cksmiiphzx-86cm-34-ips-led-21-9-3440x1440-75hz-100m-1-250cd-m2-178-178-1ms-vrb-2xhdmi-2-0-dp-1-4-audio-out-usb-3-0hub-repro-2x3w-hgt-adj-vesa-hdr-ready-acerdisplaywidget-freesync-6color-adjustment-flickerless-bluelightfilter.html
42,Philips 345B1C (345B1C/00),"439,90 €",https://www.datart.sk/monitor-philips-345b1c-345b1c-00.html
43,Acer Nitro XV273Xbmiiprzx čierny (UM.HX3EE.X01),439 €,https://www.datart.sk/nitro-xv273xbmiiprzx-69cm-27-ips-led-1920x1080-240hz-100m-1-350cd-m2-178-178-1ms-2xhdmi-2-0-1xdp-1-2-usb3-0-hub-audio-out-repro-2x2w-hgt-adj-pivot-vesa-acer-display-widget-g-sync-compatible-adaptivesync-widecolorgamut-srgb-6color.html
44,MSI Optix MAG272CQR (Optix MAG272CQR),439 €,https://www.datart.sk/msi-optix-mag272cqr-27-2560x1440-3000-1-1ms-optix-mag272cqr.html
45,AOC CU34G2 (CU34G2/BK),"435,90 €",https://www.datart.sk/monitor-aoc-cu34g2-cu34g2-bk.html
46,HP Z27n G2 (1JS10A4#ABB),434 €,https://www.datart.sk/hp-z27n-g2-uhlopricka-27-qhd-rozliseni-2560x1440-60-hz-panel-ips-led-8-bit-16-7-million-colors-16-9-micro-edge-3-strany-jas-350-cd-m2-staticky-kontrast-1000-1-odezva-5-3-ms-gtg-matny-panel-25-99-srgb-vyskove-nastavitelny-pivot-3x-usb-3-0.html
47,Samsung UR590 (LU32R590CWUXEN),429 €,https://www.datart.sk/lu32r590cwuxen-lu32r590cwuxen.html
48,MSI Optix MAG271CQR (Optix MAG271CQR),429 €,https://www.datart.sk/msi-optix-mag271cqr-27-c-2560x1440-3000-1-1ms-144h-optix-mag271cqr.html
49,Acer Predator XB271HAbmiprzx (UM.HX1EE.A09),424 €,https://www.datart.sk/monitor-acer-predator-xb271habmiprzx-um-hx1ee-a09.html
50,HP EliteDisplay E324q (5DP31AA#ABB),419 €,https://www.datart.sk/hp-elitedisplay-e324q-uhlopricka-31-5-palcu-rozliseni-2560x1440-panel-va-w-led-jas-350-cd-m2-staticky-kontrast-3000-1-odezva-7-ms-g-g-matny-panel-vyskove-nastavitelny-pivot-rotace-usb-hub-konektory-dp-1-2-hdmi-1-4-usb3-0-usb-c-2x-1x-dp-1-2.html
51,AOC U3277PWQU čierny (U3277PWQU),417 €,https://www.datart.sk/monitor-aoc-u3277pwqu-31-5-led-amva-4ms-80000000-1-350cd-m2-3840-x-2160-dp.html
52,Acer Predator XN253QPbmiprzx čierny (UM.KX3EE.P01),"414,20 €",https://www.datart.sk/predator-xn253qpbmiprzx-62cm-24-5-led-fhd-1920x1080-144hz-100m-1-400cd-m2-170-160-1ms-hdmi-dp-usb3-0-hub-audio-out-repro-2x2w-vesa-hgt-adj-pivot-nvidia-g-sync-6color-adjustment-flickerless-bluelightshield-lowdimming-comfyview-eco.html
53,Dell U2719D (210-ARBR),399 €,https://www.datart.sk/monitor-dell-u2719d-210-arbr.html
54,HP E344c Curved čierny/strieborný (6GJ95AA#ABB),399 €,https://www.datart.sk/hp-e344c-34-qhdcurved-3440x1440-400jas-3000-1-4ms-6gj95aa-abb.html
55,HP Pavilion Gaming 32 HDR (3BZ12AA#ABB),389 €,https://www.datart.sk/hp-pavilion-gaming-32-hdr-rozliseni-2560-x-1440-panel-wva-w-led-svitivost-300-cd-m2-staticky-kontrast-3000-1-odezva-5ms-matny-povrch-2xhdmi-x-dp-1-2-3x-usb-2-0-dva-vstupni-jeden-vystupni-bez-integrovanych-reproduktoru-zaruka-2-2-0-zobrazit-int.html
56,Dell S2719DC (210-AQDI),"388,90 €",https://www.datart.sk/monitor-dell-s2719dc-210-aqdi.html
57,Acer Predator XB273GXbmiiprzx (UM.HX3EE.X07),388 €,https://www.datart.sk/predator-xb273gxbmiiprzx-69cm-27-ips-led-fhd-1920x1080-240hz-100m-1-400cd-m2-178-178-0-1ms-g2g-min-2xhdmi-1-4-2xdp-1-2a-usb3-0-hub-audio-out-repro-2x2w-vesa-hgt-adj-g-sync-compatible-adaptive-sync-widecolorgamut-srgb-6color-adjustme.html
58,Samsung S32R750 (LS32R750UEUXEN),"371,60 €",https://www.datart.sk/ls32r750ueuxen-ls32r750ueuxen.html
59,Dell S2719DM (210-AORM),"370,90 €",https://www.datart.sk/monitor-dell-s2719dm-210-aorm.html
60,Samsung SJ550 (LS34J550WQUXEN),"369,90 €",https://www.datart.sk/ls34j550wquxen-ls34j550wquxen.html
61,Philips 328P6AUBREB (328P6AUBREB/00),368 €,https://www.datart.sk/monitor-philips-328p6aubreb-31-5-led-ips-4ms-1200-1-450cd-m2-2560-x-1440-dp.html
62,Philips 342B1C (342B1C/00),368 €,https://www.datart.sk/monitor-philips-342b1c-342b1c-00.html
63,Philips 272B7QUPBEB (272B7QUPBEB/00),368 €,https://www.datart.sk/monitor-philips-272b7qupbeb-272b7qupbeb-00.html
64,Dell P2720DC (210-AUJS),"362,90 €",https://www.datart.sk/p2720dc-210-aujs.html
65,Acer Predator XB252Qbmiprzx (UM.KX2EE.001),355 €,https://www.datart.sk/predator-xb252qbmiprzx-62cm-24-5-led-fhd-1920x1080-240hz-100m-1-400cd-m2-170-160-1ms-hdmi-dp-1-2-usb3-0-hub-audio-out-repro-2x2w-vesa-hgt-adj-pivot-nvidia-g-sync-v2-6color-adjustment-flickerless-bluelightshield-lowdimming-comfyvie.html
66,Lenovo Q27h-10 (66A7GAC2EU),354 €,https://www.datart.sk/lenovo-q27h-10-66a7gac2eu.html
67,Samsung C32JG56 (LC32JG56QQUXEN),"349,90 €",https://www.datart.sk/cjg5-lc32jg56qquxen.html
68,AOC CQ32G1 (CQ32G1),"349,10 €",https://www.datart.sk/aoc-cq32g1-cq32g1.html
69,Samsung LU32J590UQUXEN (LU32J590UQUXEN),349 €,https://www.datart.sk/monitor-samsung-lu32j590uquxen-lu32j590uquxen.html
70,MSI Optix AG32CQ (Optix AG32CQ),349 €,https://www.datart.sk/msi-optix-ag32cq-31-5-c-2560x1440-3000-1-8ms-optix-ag32cq.html
71,Dell UltraSharp UP2516D  čierny (210-AGUB),"348,90 €",https://www.datart.sk/monitor-dell-ultrasharp-up2516d-cierny.html
72,HP EliteDisplay E273q (1FH52AA#ABB),343 €,https://www.datart.sk/monitor-hp-elitedisplay-e273q-1fh52aa-abb.html
73,HP X27i Gaming čierny (8GC08AA#ABB),339 €,https://www.datart.sk/hp-x27i-2k-gaming-uhlopricka-27-palce-rozliseni-qhd-2-560-x-1-440-pri-60-hz-panel-ips-w-led-svitivost-350-cd-m2-staticky-kontrast-1000-1-odezva-4-ms-matny-povrch-hdmi-display-port-1-2-1-zvukovy-vystup-bez-integrovanych-reproduktoru-zaruka-2-2.html
74,Philips 328E1CA (328E1CA/00),338 €,https://www.datart.sk/monitor-philips-328e1ca-328e1ca-00.html
75,HP Pavilion 27 Quantum Dot (5DQ99AA#ABB),"337,90 €",https://www.datart.sk/monitor-hp-pavilion-27-quantum-dot-5dq99aa-abb.html
76,MSI Optix MAG251RX (Optix MAG251RX),"333,90 €",https://www.datart.sk/optix-mag251rx-flat-optix-mag251rx.html
77,Asus VG278Q čierny (90LM03P0-B01370),"333,90 €",https://www.datart.sk/monitor-asus-vg278q-27-led-tn-1ms-1000-1-400cd-m2-1920-x-1080-dp.html
78,MSI GeForce Optix MAG273R Flat (Optix MAG273R),"333,90 €",https://www.datart.sk/optix-mag273r-flat-optix-mag273r.html
79,HP OMEN X 25f (4WH47AA#ABB),"333,70 €",https://www.datart.sk/omen-x-25f-24-5-1980x1050-tn-antiglare-1ms-overdrive-400-cd-m2-1000-1-1x-hdmi-1-4-1x-displayport-1-2-3x-usb-3-0-1x-upstream-2x-downstream-1x-audio-output-240-hz-amd-freesync-vesa-ambient-lighting-vyskove-nastavitelny-stojan-zaruka-2-2.html
80,Samsung U28R550 čierne (U28R550UQU),333 €,https://www.datart.sk/samsung-u28r550uqu-u28r550uqu.html
81,Dell S2719DGF (210-AQVP),333 €,https://www.datart.sk/monitor-dell-s2719dgf-210-aqvp.html
82,HP 27f 4K (5ZP65AA#ABB),"331,90 €",https://www.datart.sk/hp-27f-4k-uhlopricka-27-rozliseni-uhd-4k-3840x2160-panel-ips-w-led-micro-edge-jas-300-cd-m2-staticky-kontrast-1000-1-odezva-5-ms-g-g-matny-panel-2x-hdmi-1x-displayport-bez-reproduktoru-low-blue-light-5zp65aa-abb.html
83,MSI Optix G27CQ4 (Optix G27CQ4),"329,50 €",https://www.datart.sk/msi-gaming-monitor-optix-g27cq4-27-zakriveny-2560-x-1440-wqhd-va-led-165hz-1ms-3000-1-250cd-m2-2xhdmi-dp-optix-g27cq4.html
84,Acer Nitro XF272Xbmiiprzx čierny (UM.HX2EE.X01),329 €,https://www.datart.sk/nitro-xf272xbmiiprzx-69cm-27-led-1920x1080-240hz-100m-1-400cd-m2-170-160-1ms-2xhdmi-2-0-1xdp-1-2a-usb3-0-hub-audio-out-repro-2x2w-hgt-adj-pivot-vesa-acer-display-widget-freesync-6color-adjustment-hdr-ready-supersharpness-flickerl.html
85,MSI Optix MAG271CP (Optix MAG271CP),329 €,https://www.datart.sk/msi-optix-mag271cp-27-c-1920x1080-3000-1-1ms-optix-mag271cp.html
86,Acer Nitro VG271UPbmiipx (UM.HV1EE.P01),328 €,https://www.datart.sk/nitro-vg271upbmiipx-69cm-27-ips-led-2560x1440-144hz-100m-1-350cd-m2-178-178-1ms-vrb-2xhdmi-2-0-dp-audio-out-repro-2x2w-vesa-acerdisplaywidget-freesync-widecolorgamut-srgb-6color-adjustment-supersharpness-flickerless-bluelightfilter.html
87,Dell P2418HT (210-AKBD),"322,90 €",https://www.datart.sk/monitor-dell-p2418ht-210-akbd.html
88,HP Z24n G2 (1JS09A4#ABB),314 €,https://www.datart.sk/hp-z24n-g2-uhlopricka-24-rozliseni-1920x1200-60-hz-panel-ips-led-8-bit-6-bit-a-frc-16-7-million-colors-16-10-micro-edge-3-strany-jas-300-cd-m2-staticky-kontrast-1000-1-odezva-5-8-ms-gtg-matny-panel-25-99-srgb-vyskove-nastavitelny-pivot.html
89,Dell P2720D (210-AUOQ),"312,10 €",https://www.datart.sk/p2720d-210-auoq.html
90,Samsung S27H850 čierny (LS27H850QFUXEN),"311,90 €",https://www.datart.sk/Samsung-27-S27H850-WQHDV-HDMI.html
91,Acer Nitro XF272UPbmiiprzx čierny (UM.HX2EE.P04),311 €,https://www.datart.sk/nitro-xf272upbmiiprzx-69cm-27-led-2560x1440-144hz-100m-1-300cd-m2-170-160-1ms-2xhdmi-2-0-1xdp-1-4-usb3-0-hub-audio-out-repro-2x2w-hgt-adj-vesa-acer-display-widget-freesync-widecolorgamut-srgb-6color-adjustment-deltae-2-hdr-ready.html
92,Samsung S27R750 (LS27R750QEUXEN),"310,90 €",https://www.datart.sk/ls27r750qeuxen-ls27r750qeuxen.html
93,Lenovo G32qc-10 (66A2GACBEU),306 €,https://www.datart.sk/lenovo-g32qc-10-66a2gacbeu.html
94,LG 34UM69G-B.AEU (34UM69G-B.AEU),306 €,https://www.datart.sk/monitor-lg-34um69g-b-aeu.html
95,HP EliteDisplay E273m (1FH51AA#ABB),303 €,https://www.datart.sk/hp-elitedisplay-e273m-uhlopricka-27-palcu-rozliseni-1920x1080-panel-ips-w-led-micro-edge-jas-250-cd-m2-staticky-kontrast-1000-1-odezva-5-ms-g-g-matny-panel-vyskove-nastavitelny-pivot-rotace-usb-hub-konektory-vga-dp-1-2-hdmi-1-4-usb3-0-usb-c.html
96,Acer Nitro XV272Pbmiiprzx čierny (UM.HX2EE.P07),"302,30 €",https://www.datart.sk/nitro-xv272pbmiiprzx-27-ips-led-1920x1440-144hz-100m-1-400cd-m2-178-178-1ms-vrb-2xhdmi-2-0-1xdp-1-4-usb3-0-hub-audio-out-repro-2x2w-hgt-adj-pivot-vesa-acer-display-widget-freesync-widecolorgamut-srgb-6color-adjustment-displayhdr.html
97,AOC U2790PQU (U2790PQU),300 €,https://www.datart.sk/aoc-u2790pqu-u2790pqu.html
98,"HP 27xq  27"",LED, TN, 1ms, 1000:1, 350cd/m2, 2560 x 1440,DP, (3WL54AA#ABB)",299 €,https://www.datart.sk/monitor-hp-27xq-27-led-tn-1ms-1000-1-350cd-m2-2560-x-1440-dp-3wl54aa-abb.html
99,Dell U2518D Ultrasharp  čierny (U2518D),"297,60 €",https://www.datart.sk/monitor-dell-u2518d-ultrasharp-25-led-ips-5ms-1000-1-350cd-m2-2560-x-1440-dp.html
100,AOC CQ27G2U/BK (CQ27G2U/BK),"295,70 €",https://www.datart.sk/aoc-cq27g2u-bk-cq27g2u-bk.html
101,MSI Optix MAG272C (Optix MAG272C),295 €,https://www.datart.sk/optix-mag272c-curved-optix-mag272c.html
102,MSI Optix G32C4 (Optix G32C4),295 €,https://www.datart.sk/msi-gaming-monitor-optix-g32c4-31-5-zakriveny-1920-x-1080-fhd-va-led-165hz-1ms-3000-1-250cd-m2-2xhdmi-dp-optix-g32c4.html
103,HP Pavilion 32 QHD (4WH45AA#ABB),289 €,https://www.datart.sk/hp-pavilion-32-qhd-32-2560-x-1440-panel-va-w-led-100-s-rgb-amd-freesync-low-blue-light-svitivost-300-cd-m2-staticky-kontrast-3000-1-odezva-20ms-matny-povrch-1xhdmi-1x-dp-1-2-xx-usb-3-0-pd-4-5w-1x-usb-c-pd-15w-vesa-100x100-mm-zaruka-2-2-0.html
104,"Viewsonic XG240R Full HD 1920×1080, TN, LED, 1ms, 144Hz, 350cd/m2, 1000:1, 2xHDMI, D-Sub, 3xUSB, Pivot, FreeSync, VESA, (XG240R)","285,90 €",https://www.datart.sk/viewsonic-xg240r-full-hd-19201080-tn-led-1ms-144hz-350cd-m2-1000-1-2xhdmi-d-sub-3xusb-pivot-freesync-vesa-xg240r.html
105,Philips 278E1A (278E1A/00),285 €,https://www.datart.sk/monitor-philips-278e1a-278e1a-00.html
106,AOC G2790PX (G2790PX),285 €,https://www.datart.sk/aoc-g2790px-g2790px.html
107,Samsung C32T550 (LC32T550FDUXEN),"284,90 €",https://www.datart.sk/monitor-samsung-c32t550-lc32t550fduxen.html
108,Samsung C32R500 (LC32R500FHUXEN),283 €,https://www.datart.sk/monitor-samsung-c32r500-lc32r500fhuxen.html
109,Acer Predator XB253QGbmiiprzx (UM.KX3EE.P08),281 €,https://www.datart.sk/predator-xb253qgpbmiiprzx-62cm-24-5-led-fhd-1920x1080-144hz-100m-1-400cd-m2-170-160-0-9ms-g2g-min-2xhdmi-2-0-dp-1-2-usb3-0-hub-audio-out-repro-2x2w-vesa-hgt-adj-pivot-g-sync-compatible-adaptive-sync-6color-adjustment-displayhdr.html
110,MSI Optix G271 (Optix G271),"277,90 €",https://www.datart.sk/optix-g271-flat-optix-g271.html
111,MSI Optix AG32CV (Optix AG32CV),275 €,https://www.datart.sk/msi-optix-ag32cv-31-5-c-1920x1080-3000-1-8ms-optix-ag32cv.html
112,Samsung C27JG56 (LC27JG56QQUXEN),273 €,https://www.datart.sk/cjg5-lc27jg56qquxen.html
113,Philips 276E8VJSB (276E8VJSB/00),273 €,https://www.datart.sk/led-philips-276e8vjsb-4k-uhd-ips-dp-hdmi-276e8vjsb-00.html
114,Asus VC279H čierny (90LM01D0-B02670),"272,80 €",https://www.datart.sk/monitor-asus-vc279h-27-led-ips-5ms-1000-1-250cd-m2-1920-x-1080.html
115,Samsung LC27JG50QQUXEN (LC27JG50QQUXEN),"271,90 €",https://www.datart.sk/monitor-samsung-lc27jg50qquxen-lc27jg50qquxen.html
116,Asus VG258Q (90LM0450-B01370),271 €,https://www.datart.sk/monitor-asus-vg258q-gaming-90lm0450-b01370.html
117,AOC C32G1 (C32G1),"266,90 €",https://www.datart.sk/aoc-c32g1-c32g1.html
118,LG 29UB67-B čierny (29UB67-B.AEU),"266,90 €",https://www.datart.sk/monitor-lg-29ub67-b-29-led-ips-5ms-5000000-1-300cd-m2-2560-x-1080-dp.html
119,Philips 276E8FJAB (276E8FJAB/00),"264,50 €",https://www.datart.sk/monitor-philips-276e8fjab.html
120,Samsung C27H711 biely (LC27H711QEUXEN),259 €,https://www.datart.sk/monitor-samsung-c27h711-27-led-va-4ms-300cd-m2-2560-x-1440-dp.html
121,AOC Q27T1 (Q27T1),259 €,https://www.datart.sk/aoc-q27t1-q27t1.html
122,Samsung C27RG50 (LC27RG50FQUXEN),259 €,https://www.datart.sk/c27rg50-lc27rg50fquxen.html
123,HP Z23n G2 (1JS06A4#ABB),258 €,https://www.datart.sk/hp-z23n-g2-uhlopricka-23-rozliseni-1920x1080-60-hz-panel-ips-led-8-bit-6-bit-a-frc-16-7-million-colors-16-9-micro-edge-3-strany-jas-250-cd-m2-staticky-kontrast-1000-1-odezva-5-ms-gtg-matny-panel-25-94-srgb-vyskove-nastavitelny-pivot-3x.html
124,AOC U2879VF čierny (U2879VF),"256,20 €",https://www.datart.sk/LCD-monitor-AOC-27-LED-U2879VF-UHD-HDMI-DP.html
125,Acer Nitro VG270Ubmiipx (UM.HV0EE.007),256 €,https://www.datart.sk/monitor-acer-nitro-vg270ubmiipx-um-hv0ee-007.html
126,Asus VZ279Q čierny (90LM02XC-B02470),255 €,https://www.datart.sk/monitor-asus-vz279q-27-led-ips-5ms-1000-1-250cd-m2-1920-x-1080-dp.html
127,HP EliteDisplay E243i (1FH49AA#ABB),"251,90 €",https://www.datart.sk/hp-elitedisplay-e243i-uhlopricka-24-palcu-rozliseni-1920x1200-panel-ips-w-led-micro-edge-jas-300-cd-m2-staticky-kontrast-1000-1-odezva-5-ms-g-g-matny-panel-vyskove-nastavitelny-pivot-rotace-usb-hub-konektory-vga-dp-1-2-hdmi-1-4-usb3-0-bez-i.html
128,Lenovo D32qc-20 (66A6GAC1EU),251 €,https://www.datart.sk/lenovo-d32qc-20-66a6gac1eu.html
129,HP 27mx (4KK74AA#ABB),249 €,https://www.datart.sk/hp-27mx-uhlopricka-27-rozliseni-1920-x-1080-panel-tn-w-led-svitivost-400-cd-m2-staticky-kontrast-1000-1-odezva-1ms-matny-povrch-ambient-light-low-blue-light-2xhdmi-display-port-1-2-3x-usb-3-0-dva-vstupni-jeden-vystupni-zobrazovaci-frekvence.html
130,Acer Nitro XV270Pbmiiprx (UM.HX0EE.P04),249 €,https://www.datart.sk/nitro-xv270pbmiiprx-27-ips-led-1920x1080-165hz-overclock-144hz-100m-1-250cd-m2-178-178-1ms-vrb-2xhdmi-2-0-1xdp-1-4-audio-out-repro-2x2w-hgt-adj-pivot-vesa-acerdisplaywidget-freesync-6color-adjustment-hdr-ready-hdr-10-supersh.html
131,HP 27x Curved Gaming (7MW42AA#ABB),249 €,https://www.datart.sk/hp-27x-curved-gaming-27-matny-antireflexivni-1920x1080-prohnuty-5ms-g-g-300cd-m2-staticky-kontrast-3000-1-panel-va-amd-freesync-144-hz-obnovovaci-frekvence-1x-audio-vystup-1x-hdmi-2-0-hdcp-1x-displayport-hdcp-podpora-vesa-low-blue-light.html
132,MSI Optix G241 (Optix G241),249 €,https://www.datart.sk/optix-g241-flat-optix-g241.html
133,HP EliteDisplay E243m (1FH48AA#ABB),"248,90 €",https://www.datart.sk/hp-elitedisplay-e243m-uhlopricka-23-8-palcu-rozliseni-1920x1080-panel-ips-w-led-micro-edge-jas-250-cd-m2-staticky-kontrast-1000-1-odezva-5-ms-g-g-matny-panel-vyskove-nastavitelny-pivot-rotace-usb-hub-konektory-vga-dp-1-2-hdmi-1-4-usb3-0-aud.html
134,Philips 325E1C (325E1C/00),"247,90 €",https://www.datart.sk/monitor-philips-325e1c-325e1c-00.html
135,HP EliteDisplay E273 (1FH50AA#ABB),"246,80 €",https://www.datart.sk/hp-elitedisplay-e273-uhlopricka-27-palcu-rozliseni-1920x1080-panel-ips-w-led-micro-edge-jas-250-cd-m2-staticky-kontrast-1000-1-odezva-5-ms-g-g-matny-panel-vyskove-nastavitelny-pivot-rotace-usb-hub-konektory-vga-dp-1-2-hdmi-1-4-usb3-0-bez-in.html
